Index,Name,Date,Longitude,Latitude,Navy,Description,Cause
0,SMS G143,03/08/1914,55.98944,17.76028, Kaiserliche Marine , The S138 -class destroyer suffered a boiler explosion and sank in the Baltic Sea.,explosion/fire
1,San Wilfrido,03/08/1914,53.86889,8.7, United Kingdom ," World War I : The tanker struck a mine at Cuxhaven , Lower Saxony , Germany. Her crew were rescued but made prisoners of war.",mine
2,SMS Königin Luise,05/08/1914,54.16667,8.066667, Kaiserliche Marine ," World War I : The auxiliary minelayer was scuttled in the Heligoland Bight following battle damaged inflicted by HMS Landrail and HMS Lance (both Royal Navy ). Forty-six of her 100 crew were rescued by HMS Amphion ( Royal Navy ), HMS Landrail and HMS Lance.",scuttled
3,HMS Amphion,06/08/1914,54.16667,8.066667, Royal Navy ," World War I : The Active -class cruiser struck a mine and sank in the Heligoland Bight with the loss of about 170 lives, including eighteen survivors from SMS Königin Luise ( Kaiserliche Marine ).",mine
4,City of Winchester,06/08/1914,12.97972,49.7653623507774, United Kingdom , World War I: The cargo ship was captured in the Arabian Sea 280 nautical miles (520 km) east of Aden by SMS Emden ( Kaiserliche Marine ).   She was scuttled on 12 August.,scuttled
5,Tubal Cain,07/08/1914,65.8374491058804,-24.6584119492346, United Kingdom ," World War I : The trawler was shelled and sunk in the Atlantic Ocean 50 nautical miles (93 km) west north west of Stalberg , Iceland by SS Kaiser Wilhelm der Grosse ( Kaiserliche Marine ).",shelled
6,Tysla,08/08/1914,55.98944,17.76028, Norway , World War I : The vessel struck a mine and sank in either the Baltic Sea or the North Sea.,mine
7,SM U-15,09/08/1914,59.54445,-1.793056, Kaiserliche Marine , World War I : The Type U 13 submarine was rammed by HMS Birmingham ( Royal Navy ) and sunk off Fair Isle with the loss of all 23 crew.,collision
8,SM U-13,12/08/1914,54.16667,8.066667, Kaiserliche Marine , The Type U 13 submarine was lost in the Heligoland Bight with the loss of all 25 crew.,unspecified
9,Hyades,15/08/1914,-8.255555,-32.1230687004682, United Kingdom ," World War I : The cargo ship was shelled and sunk in the Atlantic Ocean 180 nautical miles (330 km) east of Pernambuco , Brazil by SMS Dresden ( Kaiserliche Marine ).",shelled
10,Kaipara,16/08/1914,25.4411846676587,-17.0759134485661, United Kingdom ," World War I: The cargo ship was shelled and sunk in the Atlantic Ocean 170 nautical miles (310 km) south by west of Tenerife , Canary Islands , Spain by SMS Kaiser Wilhelm der Grosse ( Kaiserliche Marine ). Her crew were taken as prisoners of war.",shelled
11,Nyanga,16/08/1914,24.1741800286535,-16.5110812638919, United Kingdom , World War I: The cargo ship was shelled and sunk in the Atlantic Ocean 240 nautical miles (440 km) south of Tenerife by SMS Kaiser Wilhelm der Grosse ( Kaiserliche Marine ). Her crew were taken as prisoners of war.,shelled
12,SMS Zenta,16/08/1914,42.085,19.08333, Austro-Hungarian Navy ," World War I: Battle of Antivari : The Zenta -class cruiser was shelled and sunk in the Adriatic Sea off Antivari , Montenegro by Royal Navy and French Navy warships with the loss of 179 of her 308 crew.",shelled
13,Bowes Castle,18/08/1914,13.8407447783966,-52.2887750641085, United Kingdom ," The cargo ship was captured and scuttled in the Atlantic Ocean 350 nautical miles (650 km) north by west of Cape Orange , Brazil by SMS Karlsruhe ( Kaiserliche Marine ).",scuttled
14,Alice H.,22/08/1914,58.91583,22.19972, Netherlands ," World War I : The cargo ship struck a mine and sank in the Baltic Sea off the Kõpu Lighthouse , Estonia.",mine
15,Capricornus,22/08/1914,53.9330389191343,1.62563016739688, United Kingdom ," World War I: The trawler was scuttled in the North Sea 85 nautical miles (157 km) east by north of Spurn Point , Yorkshire by a Kaiserliche Marine torpedo boat. Her crew were taken as prisoners of war.",scuttled
16,Chr. Broberg,22/08/1914,56,3, Denmark , World War I: The cargo ship struck a mine and sank in the North Sea.,mine
17,Houtdik,22/08/1914,58.91583,22.19972, Netherlands , World War I: The cargo ship struck a mine and sank in the Baltic Sea off the Kõpu Lighthouse.,mine
18,Marnay,22/08/1914,53.9330389191343,1.62563016739688, United Kingdom , World War I: The trawler was scuttled in the North Sea 85 nautical miles (157 km) east by north of Spurn Point by a Kaiserliche Marine torpedo boat. Her crew were taken as prisoners of war.,scuttled
19,Maryland,22/08/1914,56,3, Denmark , World War I: The cargo ship struck a mine and sank in the North Sea. Her crew were rescued.,mine
20,Skirbeck,22/08/1914,56,3, United Kingdom , World War I: The trawler was shelled and sunk in the North Sea by a Kaiserliche Marine cruiser. Her crew were taken as prisoners of war.,shelled
21,Walrus,22/08/1914,56,3, United Kingdom , World War I: The trawler was shelled and sunk in the North Sea by a Kaiserliche Marine cruiser. Her crew were taken as prisoners of war.,shelled
22,Wigtoft,22/08/1914,56,3, United Kingdom , World War I: The trawler was shelled and sunk in the North Sea by a Kaiserliche Marine cruiser. Her crew were taken as prisoners of war.,shelled
23,Flamingo,23/08/1914,42.73472,15.85694, Austro-Hungarian Navy , World War I : The torpedo boat struck a mine and sank in the Adriatic Sea.,mine
24,Kesteven,25/08/1914,53.7740545808338,1.85458420125447, United Kingdom , World War I : The trawler was scuttled in the North Sea 69 nautical miles (128 km) east north east of the Inner Dowsing Lightship ( United Kingdom ) by a Kaiserliche Marine torpedo boat. Her crew were taken as prisoners of war.,scuttled
25,Lindsey,25/08/1914,53.7809443151589,1.87120026169161, United Kingdom , World War I: The trawler was scuttled in the North Sea 70 nautical miles (130 km) east north east of the Inner Dowsing Lightship ( United Kingdom ) by a Kaiserliche Marine torpedo boat. Her crew were taken as prisoners of war.,scuttled
26,Porpoise,25/08/1914,53.7809443151589,1.87120026169161, United Kingdom , World War I: The trawler was scuttled in the North Sea 70 nautical miles (130 km) east north east of the Inner Dowsing Lightship ( United Kingdom ) by a Kaiserliche Marine torpedo boat. Her crew were taken as prisoners of war.,scuttled
27,Holmwood,26/08/1914,-8.255555,-32.1230687004682, United Kingdom ," World War I : The cargo ship was captured and sunk in the Atlantic Ocean 180 nautical miles (330 km) east of Pernambuco , Brazil by SMS Dresden ( Kaiserliche Marine ).",captured and sunk
28,Kaiser Wilhelm der Grosse,26/08/1914,23.024707,-16.244118, Germany ," World War I: Battle of Río de Oro : The ocean liner was scuttled off Rio de Oro , Spanish Sahara following a battle with HMS Highflyer ( Royal Navy ) ",scuttled
29,SMS Magdeburg,26/08/1914,59.294,23.398867, Kaiserliche Marine ," SMS Magdeburg World War I: The Magdeburg -class cruiser ran aground in the Baltic Sea off Odensholm , Estonia . She was subsequently attacked by Admiral Makarov and Gromoboi (both Imperial Russian Navy ) and sank with the loss of 15 lives.",ran aground
30,Skeatti Sogeli,26/08/1914,55.464048,0.234173, Denmark ," The coaster struck a mine and sank in the North Sea 30 nautical miles (56 km) off Newcastle-upon-Tyne , Northumberland , United Kingdom.",mine
31,Barley Rig,27/08/1914,56,3, United Kingdom , World War I : The drifter struck a mine and sank in the North Sea with the loss of five of her nine crew. The survivors were rescued by the trawler St. Clair ( United Kingdom ).,mine
32,HMT Crathie,27/08/1914,55.338452,0.020728, Royal Navy , World War I: The naval trawler struck a mine and sank in the North Sea 30 nautical miles (56 km) off the mouth of the River Tyne.,mine
33,Ena,27/08/1914,55.375193,0.297344, Norway ," World War I: The cargo ship struck a mine and sank in the North Sea 30 nautical miles (56 km) off Newcastle-upon-Tyne , Northumberland , United Kingdom . Her crew were rescued by a Royal Navy torpedo boat.",mine
34,Gaea,27/08/1914,56,3, Denmark , The three-masted schooner struck a mine and sank in the North Sea with the loss of three of her six crew.,mine
35,Gottfried,27/08/1914,55.446237,0.703857, Norway , World War I: The cargo ship struck a mine and sank in the North Sea 30 nautical miles (56 km) off Newcastle-upon-Tyne.,mine
36,HMT Thomas W. Irvin,27/08/1914,68.561772, 0.763606, Royal Navy , World War I: the naval trawler struck a mine and sank with the loss of three of her twelve crew.,mine
37,SMS Ariadne,28/08/1914,54.16667,8.066667, Kaiserliche Marine ," World War I : Battle of Heligoland Bight : The Gazelle -class light cruiser was shelled and sunk in the Heligoland Bight by HMS Lion , HMS Queen Mary and HMS Princess Royal (all Royal Navy ) ",shelled
38,SMS Cöln,28/08/1914,54.16667,8.066667, Kaiserliche Marine ," World War I: Battle of Heligoland Bight : The Kolberg -class light cruiser was shelled and sunk in the Heligoland Bight by HMS Lion , HMS Queen Mary and HMS Princess Royal (all Royal Navy ) with the loss of 484 of her 485 crew.",shelled
